Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,137,0,110.0,449.0129610656933,89.10383300000113,5422.742791,258.5985401459854,6.256317120891224,0.0,110,150,180,210,490,3400,4700,4800,5400,5400,5400
GET,/status,42,0,8,244.4876378095238,1.5094159999975432,3020.7425000000007,174.52380952380952,1.9179950297622732,0.0,9,90,110,200,320,2000,3000,3000,3000,3000,3000
,Aggregated,179,0,100.0,401.0237790726261,1.5094159999975432,5422.742791,238.87150837988827,8.174312150653497,0.0,100,130,180,200,490,3300,4500,4800,5400,5400,5400
