Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785335853,20,,Aggregated,10.000000,0.000000,100,120,150,170,300,2000,3900,4700,5400,5400,5400,248,0,100.0,315.9120812822584,1.5094159999975432,5422.742791,238.46774193548387
1785335854,20,,Aggregated,9.700000,0.000000,100,120,150,170,290,2000,3800,4700,5400,5400,5400,256,0,100.0,310.24129700390654,1.5094159999975432,5422.742791,238.7109375
1785335855,20,,Aggregated,9.900000,0.000000,100,120,150,170,280,1800,3800,4700,5400,5400,5400,267,0,100.0,302.3809294232213,1.5094159999975432,5422.742791,239.64044943820224
1785335856,20,,Aggregated,9.600000,0.000000,100,120,150,170,280,1800,3800,4700,5400,5400,5400,276,0,100.0,296.40507891666687,1.5094159999975432,5422.742791,238.9746376811594
1785335857,20,,Aggregated,9.800000,0.000000,100,120,150,170,280,1600,3800,4700,5400,5400,5400,287,0,100.0,288.49880759930346,1.5094159999975432,5422.742791,238.794425087108
1785335858,20,,Aggregated,9.700000,0.000000,100,120,150,160,280,1600,3800,4700,5400,5400,5400,297,0,100.0,281.21526483838414,1.5094159999975432,5422.742791,238.7138047138047
1785335859,20,,Aggregated,9.600000,0.000000,100,120,150,170,280,850,3400,4500,5400,5400,5400,306,0,100.0,276.8347311764709,1.2704170000006343,5422.742791,238.3856209150327
1785335860,20,,Aggregated,9.700000,0.000000,100,120,150,170,280,850,3400,4500,5400,5400,5400,315,0,100.0,271.91156756190503,1.2704170000006343,5422.742791,238.1904761904762
1785335861,20,,Aggregated,9.800000,0.000000,100,120,150,170,280,580,3400,4500,5400,5400,5400,326,0,100.0,267.7851337914113,0.9612919999995029,5422.742791,238.09815950920245
1785335862,20,,Aggregated,9.800000,0.000000,100,110,150,170,280,580,3400,4500,5400,5400,5400,335,0,100.0,262.26992833134346,0.9612919999995029,5422.742791,237.69253731343284
1785335863,20,,Aggregated,9.300000,0.000000,100,110,150,170,260,490,3400,4500,5400,5400,5400,347,0,100.0,257.50453612103763,0.9612919999995029,5422.742791,237.59942363112393
1785335864,20,,Aggregated,9.700000,0.000000,100,110,150,170,260,490,3300,4500,5400,5400,5400,355,0,100.0,253.3814889464791,0.9612919999995029,5422.742791,237.40281690140844
