Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785335666,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785335667,5,,Aggregated,0.000000,0.000000,350,430,430,460,460,460,460,460,460,460,460,5,0,350.0,339.4394414,177.40158299999996,460.084458,250.8
1785335668,10,,Aggregated,0.000000,0.000000,280,350,430,430,440,460,460,460,460,460,460,12,0,270.0,263.15698616666657,1.768791999999575,460.084458,234.33333333333334
1785335669,15,,Aggregated,3.000000,0.000000,270,360,430,440,500,530,610,610,610,610,610,23,0,270.0,270.4880399130434,1.614749999999887,609.9431249999996,236.8695652173913
1785335670,20,,Aggregated,4.000000,0.000000,210,350,430,440,460,530,610,610,610,610,610,33,0,210.0,256.66459218181814,1.1218330000000165,609.9431249999996,238.84848484848484
1785335671,20,,Aggregated,5.333333,0.000000,180,280,360,430,450,500,610,610,610,610,610,42,0,170.0,222.22900595238093,1.1218330000000165,609.9431249999996,236.61904761904762
1785335672,20,,Aggregated,6.750000,0.000000,160,210,320,360,450,500,610,610,610,610,610,49,0,160.0,201.19643877551016,1.1218330000000165,609.9431249999996,234.89795918367346
1785335673,20,,Aggregated,7.800000,0.000000,180,270,320,350,440,500,530,610,610,610,610,58,0,170.0,210.02246044827587,1.1218330000000165,609.9431249999996,237.44827586206895
1785335674,20,,Aggregated,7.666667,0.000000,200,280,340,360,460,610,1100,1100,1100,1100,1100,71,0,200.0,249.261465915493,1.1218330000000165,1087.1397919999995,234.04225352112675
1785335675,20,,Aggregated,7.428571,0.000000,190,280,330,360,460,610,1100,1100,1100,1100,1100,73,0,190.0,245.07960724657534,1.1218330000000165,1087.1397919999995,233.53424657534248
1785335676,20,,Aggregated,7.875000,0.000000,220,330,380,440,540,670,1100,1100,1100,1100,1100,85,0,220.0,279.435313682353,1.1218330000000165,1087.1397919999995,236.1529411764706
